0x41	U+0410		
0x42	U+0411		
0x43	U+0426		
0x44	U+0414		
0x45	U+0415		
0x46	U+0424		
0x47	U+0413		
0x49	U+0418		
0x4A	U+0416		
0x4B	U+041A		
0x4C	U+041B		
0x4D	U+041C		
0x4E	U+041D		
0x4F	U+041E		
0x50	U+041F		
0x51	U+0427		
0x52	U+0420		
0x53	U+0421		
0x54	U+0422		
0x55	U+0423		
0x57	U+0412		
0x58	U+0425		
0x59	U+042B		
0x5A	U+0417		
0x61	U+0430		
0x62	U+0431		
0x63	U+0446		
0x64	U+0434		
0x65	U+0435		
0x66	U+0444		
0x67	U+0433		
0x69	U+0438		
0x6A	U+0436		
0x6B	U+043A		
0x6C	U+043B		
0x6D	U+043C		
0x6E	U+043D		
0x6F	U+043E		
0x70	U+043F		
0x71	U+0447		
0x72	U+0440		
0x73	U+0441		
0x74	U+0442		
0x75	U+0443		
0x77	U+0432		
0x78	U+0445		
0x79	U+044B		
0x7A	U+0437		
0x90	U+0429		
0x92	U+0428		
0x93	U+042A		
0x94	U+042C		
0x95	U+042E		
0x96	U+042F		
0xB0	U+0449		
0xB2	U+0448		
0xB3	U+044A		
0xB4	U+0131		
0xB5	U+044E		
0xB6	U+044F		
0xC4	U+042D		
0xCB	U+0401		
0xCF	U+0419		
0xD6	U+04E8		
0xDC	U+04AE		
0xE4	U+044D		
0xEB	U+0451		
0xEF	U+0439		
0xF6	U+04E9		
0xFC	U+04AF		
